thang,so_don,so_khach,diem_tb
2011-03,1,1,5.0
2012-04,1,1,5.0
2012-05,23,22,4.39
2012-06,22,22,4.5
2012-07,6,6,4.5
2012-08,3,3,4.33
2012-09,1,1,5.0
2012-10,5,5,4.4
2012-11,11,11,4.55
2012-12,4,3,4.25
2013-01,3,3,4.0
2013-02,1,1,5.0
2013-03,3,3,4.33
2013-04,9,9,4.44
2013-05,2,2,4.0
2013-06,1,1,4.0
2013-07,5,5,4.6
2013-08,9,9,4.33
2013-09,3,3,4.33
2013-10,5,5,3.2
2013-11,24,24,4.63
2013-12,10,10,4.7
2014-01,13,13,4.85
2014-02,6,6,4.0
2014-03,17,17,4.47
2014-04,10,10,4.8
2014-05,11,11,4.82
2014-06,16,16,4.25
2014-07,15,14,4.67
2014-08,31,31,4.55
2014-09,29,29,4.48
2014-10,51,49,4.61
2014-11,69,67,4.58
2014-12,47,46,4.62
2015-01,43,43,4.47
2015-02,70,70,4.71
2015-03,63,62,4.59
2015-04,51,51,4.61
2015-05,102,99,4.67
2015-06,303,298,4.7
2015-07,447,435,4.62
2015-08,290,287,4.67
2015-09,162,162,4.67
2015-10,122,117,4.68
2015-11,283,278,4.65
2015-12,147,145,4.62
2016-01,115,114,4.72
2016-02,114,112,4.59
2016-03,146,145,4.6
2016-04,109,106,4.56
2016-05,125,122,4.47
2016-06,98,95,4.56
2016-07,107,105,4.36
2016-08,60,59,4.15
2016-09,52,51,4.65
2016-10,40,39,4.65
2016-11,69,69,4.54
2016-12,71,71,4.49
2017-01,68,67,4.56
2017-02,102,101,4.56
2017-03,169,168,4.66
2017-04,184,181,4.65
2017-05,229,229,4.63
2017-06,256,254,4.62
2017-07,327,320,4.56
2017-08,377,372,4.59
2017-09,395,390,4.43
2017-10,484,476,4.48
2017-11,533,529,4.4
2017-12,627,614,4.36
2018-01,434,422,4.47
2018-02,384,376,4.41
2018-03,577,567,4.34
2018-04,381,374,4.39
2018-05,421,410,4.3
2018-06,421,412,4.47
2018-07,448,441,4.47
2018-08,478,467,4.35
2018-09,467,457,4.38
2018-10,676,652,4.38
2018-11,748,727,4.39
2018-12,666,652,4.34
2019-01,571,558,4.36
2019-02,625,605,4.28
2019-03,1242,1205,4.34
2019-04,964,936,4.37
2019-05,1141,1110,4.3
2019-06,1042,996,4.19
2019-07,1232,1200,4.18
2019-08,1673,1606,4.22
2019-09,1801,1730,4.31
2019-10,2557,2435,4.38
2019-11,2186,2074,4.31
2019-12,2497,2365,4.38
2020-01,2664,2512,4.46
2020-02,4099,3870,4.49
2020-03,4982,4660,4.49
2020-04,3631,3441,4.44
2020-05,2745,2597,4.46
2020-06,2504,2396,4.38
2020-07,2419,2324,4.43
2020-08,3294,3101,4.5
2020-09,3362,3188,4.5
2020-10,4708,4361,4.42
2020-11,5325,5057,4.42
2020-12,5339,4982,4.42
2021-01,4861,4578,4.43
2021-02,5391,5032,4.5
2021-03,7160,6635,4.48
2021-04,5858,5549,4.5
2021-05,7619,7075,4.54
2021-06,9462,8721,4.53
2021-07,8735,7973,4.55
2021-08,7329,6595,4.53
2021-09,6116,5606,4.54
2021-10,9586,8692,4.54
2021-11,9324,8479,4.57
2021-12,9975,8885,4.6
2022-01,7993,7304,4.63
2022-02,7971,7228,4.65
2022-03,8679,7937,4.62
2022-04,6726,6138,4.62
2022-05,6364,5798,4.63
2022-06,5769,5195,4.66
2022-07,6537,5848,4.63
2022-08,4719,4270,4.57
2022-09,3493,3202,4.52
2022-10,3332,3011,4.55
2022-11,3165,2786,4.58
2022-12,2821,2477,4.53
2023-01,2331,2033,4.52
2023-02,2257,2049,4.51
2023-03,2258,2008,4.54
2023-04,1638,1486,4.45
2023-05,1329,1203,4.52
2023-06,1291,1153,4.41
2023-07,1312,1160,4.52
2023-08,1082,1005,4.45
2023-09,923,843,4.46
2023-10,948,855,4.54
2023-11,762,705,4.49
2023-12,737,656,4.47
2024-01,765,709,4.5
2024-02,622,553,4.4
2024-03,574,529,4.3
2024-04,547,495,4.44
2024-05,539,492,4.39
2024-06,503,444,4.41
2024-07,548,481,4.42
2024-08,605,538,4.5
2024-09,721,598,4.52
2024-10,759,643,4.49
2024-11,483,437,4.4
2024-12,422,381,4.36
2025-01,330,292,4.44
2025-02,440,400,4.23
2025-03,487,436,4.47
2025-04,424,359,4.38
2025-05,387,342,4.5
2025-06,349,313,4.18
2025-07,342,302,4.35
2025-08,341,304,4.38
2025-09,269,249,4.24
2025-10,313,279,4.32
2025-11,254,231,4.35
2025-12,263,234,4.1
2026-01,6,5,2.83
